 -A; AA
SQUARE BRACKET;BRACKET
CURLY BRACKET;BRACE
SMALL CAPITAL LETTER;SMALL_CAPITAL_LETTER
LETTER SMALL CAPITAL;LETTER_SMALL_CAPITAL
SMALL CAPITAL;SMALL_CAPITAL
CAPITAL LETTER;CAPITAL_LETTER
SMALL LETTER;SMALL_LETTER
CAPITAL LIGATURE;CAPITAL_LIGATURE
SMALL LIGATURE;SMALL_LIGATURE
NO-BREAK;NOBREAK
NON-BREAKING;NOBREAK
THREE-PER-EM;tpm
FOUR-PER-EM;fpm
SIX-PER-EM;spm
TWO-EM DASH;twoemdash
THREE-EM DASH;triemdash
EM DASH;emdash
EN DASH;endash
NUMBER SIGN;hash
REVERSE SOLIDUS;BACKSLASH
SOLIDUS;SLASH
-THAN;
HYPHEN-MINUS;dash
PRECEDED BY;AFTER
COMMERCIAL AT;at
SOFT HYPHEN;sh
MULTIPLICATION;times
RETROFLEX HOOK;rhook
PALATAL HOOK;phook
PALATALIZED HOOK;phook
CANADIAN SYLLABICS;CANADIAN
KATAKANA-HIRAGANA;JAPANESE
ZERO WIDTH;ZEROWIDTH
NON-JOINER;NONJOINER
LEFT-TO-RIGHT EMBEDDING;lre
LEFT-TO-RIGHT OVERRIDE;lro
LEFT-TO-RIGHT ISOLATE;lri
LEFT-TO-RIGHT;ltr
RIGHT-TO-LEFT EMBEDDING;rle
RIGHT-TO-LEFT OVERRIDE;rlo
RIGHT-TO-LEFT ISOLATE;rli
RIGHT-TO-LEFT;rtl
FIRST STRONG ISOLATE;fsi
POP DIRECTIONAL FORMATTING;pdf
POP DIRECTIONAL ISOLATE;pdi
WORD JOINER;wjn
INHIBIT SYMMETRIC SWAPPING;iss
ACTIVATE SYMMETRIC SWAPPING;ass
INHIBIT ARABIC FORM SHAPING;iafs
ACTIVATE ARABIC FORM SHAPING;aafs
NATIONAL DIGIT SHAPES;natds
NOMINAL DIGIT SHAPES;nomds
INTERLINEAR ANNOTATION ANCHOR;iaa
INTERLINEAR ANNOTATION SEPARATOR;ias
INTERLINEAR ANNOTATION TERMINATOR;iat
HEBREW LETTER;HEBREW
HEBREW LIGATURE;HEBREW
HEBREW PUNCTUATION;HEBREW
HEBREW POINT;HEBREW
VARIATION SELECTOR;varsel
CJK COMPATIBILITY IDEOGRAPH;cjk
ISOLATED FORM;ISOLATED
FINAL FORM;FINAL
ARABIC LETTER;ARABIC
CYPRIOT SYLLABLE;CYPRIOT
CLOCK FACE;
SMILING FACE;smile
ALCHEMICAL SYMBOL;alch
INPUT SYMBOL;insymb
TRIANGLE-HEADED;trhead
TWO-HEADED ARROW WITH TRIANGLE ARROWHEADS;dbltrheadarrow
TRIANGLE ARROWHEADS;trhead
EQUAL TO;equals
EQUIVALENT TO;equiv
NORTH EAST;NORTHEAST
NORTH WEST;NORTWEST
SOUTH EAST;SOUTHEAST
SOUTH WEST;SOUTHWEST
CIRCLED NUMBER;CIRCLED
DIAERESIS;dieresis
ORDINAL INDICATOR;ordinal
LONG LEG;lleg
PRECEDES;prec
SUCCEEDS;succ
CONTAINS AS;cont
CONTAIN AS;cont
CONTAINS;cont
DOES NOT;not
NOT A;not
APL FUNCTIONAL SYMBOL;apl
FOR ALL;FORALL
DENTISTRY SYMBOL LIGHT;DENTISTRY SYMBOL
Z NOTATION;zet
ELEMENT OF;ELEMENT
IMAGE OF;IMAGE
SUBSET OF;SUBSET
SUPERSET OF;SUPERSET
INTERSECTION;intersect
-9 QUOTATION; ninequote
